restaurant_id,restaurant_name,city,locality,restaurant_type,cuisines,listing_date,days_listed,distance_from_city_center_km,opening_time,closing_time,days_operational,platform_performance_better,amenities,amenities_count,has_own_website,has_own_app,food_license_verified
REST000001,Restaurant_1,Mumbai,Mumbai_Locality_9,Cafe,Italian,04-03-2023,1168,4.1,12:00,22:00,601,Swiggy Better,Live Music; Family Friendly; Vegan Options; WiFi; Dine-in; Outdoor Seating,6,FALSE,FALSE,TRUE
REST000002,Restaurant_2,Mumbai,Mumbai_Locality_13,Casual Dining,Mughlai,11-09-2016,3533,1.9,09:00,23:00,3501,Swiggy Better,Dessert Bar; Live Music; Rooftop,3,FALSE,TRUE,TRUE
REST000003,Restaurant_3,Mumbai,Mumbai_Locality_12,Fine Dine,Mediterranean,05-04-2017,3327,2.9,08:00,23:00,1485,Swiggy Better,Dessert Bar; Parking; Rooftop; Dine-in,4,TRUE,TRUE,FALSE
REST000004,Restaurant_4,Mumbai,Mumbai_Locality_19,Cloud Kitchen,Desserts,28-07-2024,656,13.2,08:00,23:00,1318,Zomato Better,Live Music; Outdoor Seating; Alcohol; Family Friendly; Takeaway,5,TRUE,TRUE,TRUE
REST000005,Restaurant_5,Mumbai,Mumbai_Locality_13,Cafe,Mexican,04-02-2022,1561,6,11:00,23:00,1947,Swiggy Better,Rooftop; Outdoor Seating; Alcohol; Takeaway; Dessert Bar; WiFi; Smoking Area,7,TRUE,TRUE,TRUE
REST000006,Restaurant_6,Mumbai,Mumbai_Locality_11,Food Truck,Thai; Vietnamese,24-10-2021,1664,7.6,09:00,23:00,488,Zomato Better,Alcohol; Private Room; Vegan Options; AC; Live Music,5,TRUE,FALSE,FALSE
REST000007,Restaurant_7,Mumbai,Mumbai_Locality_8,Cloud Kitchen,Thai,24-11-2018,2729,3.8,07:00,22:00,1414,Swiggy Better,Smoking Area; Vegan Options; Private Room; Family Friendly; Live Music; Bar; AC; Dessert Bar,8,TRUE,TRUE,FALSE
REST000008,Restaurant_8,Mumbai,Mumbai_Locality_2,QSR (Quick Service),Mexican,03-11-2020,2019,10.3,07:00,22:00,2676,Zomato Better,Takeaway; Dine-in; Dessert Bar; Alcohol; Private Room; Smoking Area; Live Music,7,TRUE,FALSE,FALSE
REST000009,Restaurant_9,Mumbai,Mumbai_Locality_13,Casual Dining,Mediterranean; Fast Food,04-08-2020,2110,0.5,09:00,23:00,1629,Zomato Better,Vegan Options; Family Friendly; Alcohol,3,TRUE,TRUE,TRUE
REST000010,Restaurant_10,Mumbai,Mumbai_Locality_8,Casual Dining,Chinese,20-10-2024,572,6.4,08:00,22:00,2363,Balanced,WiFi; Family Friendly; Parking; Takeaway; Dine-in; Private Room; Bar; Alcohol,8,TRUE,FALSE,FALSE
REST000011,Restaurant_11,Mumbai,Mumbai_Locality_6,Fine Dine,Cafe,31-07-2018,2845,6.9,12:00,23:00,2255,Zomato Better,WiFi; Smoking Area; Vegan Options; Live Music,4,FALSE,TRUE,FALSE
REST000012,Restaurant_12,Mumbai,Mumbai_Locality_2,Food Truck,Multi-Cuisine,14-03-2022,1523,1.8,09:00,22:00,1764,Swiggy Better,Vegan Options; Alcohol; Outdoor Seating; AC; Rooftop,5,TRUE,FALSE,TRUE
REST000013,Restaurant_13,Mumbai,Mumbai_Locality_4,QSR (Quick Service),Bakery; Biryani,17-10-2023,941,5.6,10:00,22:00,2323,Swiggy Better,Rooftop; Bar; Takeaway; AC,4,TRUE,FALSE,TRUE
REST000014,Restaurant_14,Mumbai,Mumbai_Locality_8,Cloud Kitchen,Pan-Asian,20-12-2021,1607,3.7,08:00,23:00,2733,Zomato Better,WiFi; Dine-in; Takeaway; Vegan Options; AC; Parking; Bar,7,FALSE,TRUE,TRUE
REST000015,Restaurant_15,Mumbai,Mumbai_Locality_17,QSR (Quick Service),South Indian; North Indian,25-09-2021,1693,13.9,12:00,22:00,2235,Zomato Better,AC; Dessert Bar; Smoking Area; Private Room,4,TRUE,FALSE,TRUE
REST000016,Restaurant_16,Mumbai,Mumbai_Locality_19,QSR (Quick Service),Seafood,16-12-2020,1976,9.3,10:00,23:00,1349,Zomato Better,Rooftop; Live Music; Outdoor Seating; Dine-in,4,TRUE,TRUE,TRUE
REST000017,Restaurant_17,Mumbai,Mumbai_Locality_7,Cloud Kitchen,Mexican; Korean,02-06-2019,2539,10.9,10:00,23:00,1602,Zomato Better,Rooftop; Family Friendly; Dessert Bar; Alcohol,4,FALSE,FALSE,FALSE
REST000018,Restaurant_18,Mumbai,Mumbai_Locality_15,Food Truck,Street Food; Multi-Cuisine,20-08-2021,1729,4.3,12:00,23:00,1042,Swiggy Better,AC; Bar; Outdoor Seating; Private Room,4,TRUE,TRUE,FALSE
REST000019,Restaurant_19,Mumbai,Mumbai_Locality_2,QSR (Quick Service),Japanese,15-10-2018,2769,3.5,10:00,22:00,1750,Swiggy Better,WiFi; AC; Family Friendly; Dine-in,4,FALSE,FALSE,FALSE
REST000020,Restaurant_20,Mumbai,Mumbai_Locality_20,Cafe,Fast Food; Continental,10-10-2023,948,8.2,11:00,22:00,1643,Swiggy Better,Private Room; Takeaway; Family Friendly; Dine-in; Alcohol,5,TRUE,FALSE,TRUE
REST000021,Restaurant_21,Mumbai,Mumbai_Locality_7,Cafe,South Indian; Cafe,09-04-2018,2958,12.7,08:00,22:00,2574,Balanced,Takeaway; Vegan Options; Dine-in; WiFi; Private Room,5,FALSE,FALSE,TRUE
REST000022,Restaurant_22,Mumbai,Mumbai_Locality_8,Fine Dine,Korean; Lebanese,20-05-2019,2552,2,09:00,22:00,3194,Swiggy Better,Parking; Dessert Bar; Family Friendly; Bar; Outdoor Seating; AC,6,TRUE,FALSE,FALSE
REST000023,Restaurant_23,Mumbai,Mumbai_Locality_9,Cloud Kitchen,Mexican; Korean,30-04-2025,380,5.2,07:00,23:00,1035,Swiggy Better,WiFi; Vegan Options; Bar; Smoking Area; Alcohol,5,TRUE,TRUE,TRUE
REST000024,Restaurant_24,Mumbai,Mumbai_Locality_8,Cafe,Mexican,14-03-2018,2984,10.5,12:00,23:00,2675,Zomato Better,Bar; Family Friendly; WiFi; Rooftop; Smoking Area,5,TRUE,TRUE,TRUE
REST000025,Restaurant_25,Mumbai,Mumbai_Locality_7,QSR (Quick Service),Italian; Fast Food,20-06-2022,1425,3.6,09:00,23:00,2013,Swiggy Better,Outdoor Seating; Dessert Bar; Rooftop; Family Friendly; Takeaway; Dine-in; WiFi; Bar,8,FALSE,FALSE,TRUE
REST000026,Restaurant_26,Mumbai,Mumbai_Locality_4,Fine Dine,Desserts; Multi-Cuisine,22-08-2016,3553,12.4,10:00,22:00,1671,Zomato Better,Rooftop; Alcohol; AC; Family Friendly,4,FALSE,FALSE,FALSE
REST000027,Restaurant_27,Mumbai,Mumbai_Locality_4,QSR (Quick Service),Korean; Vietnamese,07-03-2020,2260,14.2,12:00,22:00,881,Zomato Better,WiFi; Bar; Family Friendly; Takeaway; Dessert Bar; Live Music; Smoking Area; Vegan Options,8,FALSE,TRUE,TRUE
REST000028,Restaurant_28,Mumbai,Mumbai_Locality_3,Cafe,Continental; Continental,29-10-2019,2390,1.4,09:00,23:00,3276,Zomato Better,Takeaway; Live Music; Dessert Bar,3,TRUE,FALSE,TRUE
REST000029,Restaurant_29,Mumbai,Mumbai_Locality_15,Casual Dining,Multi-Cuisine,27-12-2024,504,13.8,11:00,23:00,773,Swiggy Better,AC; Private Room; Rooftop; Alcohol; Dine-in; Family Friendly; Takeaway; Parking,8,FALSE,FALSE,FALSE
