restaurant_id,swiggy_rating,swiggy_total_reviews,swiggy_delivery_fee_inr,swiggy_avg_delivery_time_minutes,swiggy_platform_commission_pct,swiggy_discount_frequency_pct,swiggy_estimated_monthly_orders,swiggy_estimated_monthly_revenue_inr,swiggy_estimated_net_profit_inr,swiggy_market_share_pct
REST000001,3.6,722,40,35,21,15,140,112148,109348,50
REST000002,4.2,4402,30,32,22,16,279,201298,197113,49
REST000003,3.8,594,34,34,14,15,137,170839,168510,42
REST000004,3.3,3768,86,56,26,14,233,119314,109295,66
REST000005,4.8,104,50,37,19,5,218,220548,215098,52
REST000006,4,4657,58,39,20,25,102,26520,23562,65
REST000007,4,492,39,40,23,16,286,63423,57846,56
REST000008,3.7,905,71,47,19,6,227,99657,91599,53
REST000009,3.9,4562,30,27,21,10,214,78951,75741,41
REST000010,3.7,4791,52,36,19,7,220,217404,211684,50
REST000011,3.1,4343,54,36,13,6,121,135271,132004,54
REST000012,4.7,2155,30,23,17,24,140,122474,120374,45
REST000013,4.3,1341,48,44,23,17,255,195171,189051,52
REST000014,3.6,2296,38,24,24,9,296,329116,323492,72
REST000015,3.9,2714,89,52,19,9,229,75123,64932,51
REST000016,3.7,3886,66,48,19,8,197,239195,232694,58
REST000017,4,55,74,48,25,6,292,223380,212576,69
REST000018,4,1969,41,37,19,14,109,92704,90470,50
REST000019,4.4,3126,37,35,22,17,245,30958,26425,53
REST000020,4.4,3792,60,41,19,18,194,39599,33779,54
REST000021,4.4,4630,83,47,21,13,214,186304,177423,48
REST000022,4.1,346,30,24,14,25,176,187837,185197,48
REST000023,4.2,3816,46,33,24,21,287,305149,298548,65
REST000024,3.9,2420,72,44,20,11,191,149438,142562,57
REST000025,4.8,2436,38,32,19,37,275,198024,192799,56
REST000026,3.5,1252,82,51,15,14,129,142764,137475,44
REST000027,4,1974,91,53,21,17,201,203251,194105,54
REST000028,3.6,2501,30,21,17,10,187,109733,106928,47
REST000029,3.7,757,89,48,18,12,184,130058,121870,42
REST000030,3.7,3631,52,37,22,5,98,43265,40717,51
REST000031,3.6,3878,90,48,25,6,252,205065,193725,73
REST000032,4.7,1966,62,42,26,32,369,255038,243599,56
REST000033,3.7,667,30,25,17,5,160,164937,162537,51
REST000034,3.9,2946,34,34,27,6,274,206420,201762,66
REST000035,3.7,2058,54,40,23,14,265,156710,149555,65
REST000036,3.4,332,71,50,22,11,215,176420,168787,42
REST000037,4.7,3006,32,36,21,38,239,180879,177055,54
REST000038,4.2,4413,30,20,23,14,154,112058,109748,60
REST000039,3.8,1010,88,48,17,8,233,65172,54920,57
REST000040,4.6,1089,94,55,18,33,144,104264,97496,51
REST000041,3,508,30,25,25,10,259,188811,184926,69
REST000042,3.2,3399,84,44,24,7,262,214651,203647,61
REST000043,3.6,3474,63,38,18,8,223,135133,128109,49
REST000044,3.8,1183,35,28,17,8,127,157693,155470,58
REST000045,3.8,4207,70,41,20,5,116,79436,75376,59
REST000046,3.2,2911,35,31,18,14,116,91600,89570,40
REST000047,3.7,2791,40,33,20,10,177,117811,114271,58
REST000048,4.4,1246,77,41,21,12,248,56620,47072,52
REST000049,4.7,2823,57,38,28,39,306,260638,251917,69
REST000050,3.7,1168,75,54,16,9,152,100228,94528,46
REST000051,4,642,47,29,15,14,172,52193,48151,51
REST000052,3.7,3852,42,31,22,13,237,166928,161951,54
REST000053,3.5,3593,42,38,19,10,120,58708,56188,64
REST000054,4,4505,55,31,18,24,181,182556,177579,50
REST000055,3.6,4319,40,34,22,11,200,185484,181484,45
REST000056,4.5,1503,81,47,18,21,223,51017,41986,41
REST000057,4.3,1540,80,43,12,23,161,165482,159042,44
REST000058,3.9,3573,72,58,21,15,210,242048,234488,47
REST000059,3.6,3057,91,48,21,6,165,40017,32509,46
REST000060,4.7,2628,84,46,18,40,212,49022,40118,51
REST000061,3.5,3931,31,30,23,12,88,67150,65786,46
REST000062,4.5,2336,46,39,21,22,151,79089,75616,50
REST000063,3.8,2016,69,37,19,10,175,107588,101550,48
REST000064,4.1,3156,56,50,23,16,113,57252,54088,61
REST000065,4,890,30,33,19,16,230,78991,75541,51
REST000066,3.9,1132,77,44,18,10,195,179088,171580,63
REST000067,3.7,4748,45,33,21,11,234,113873,108608,48
REST000068,3.9,4604,89,48,22,10,209,184049,174749,48
REST000069,3.9,4459,45,40,19,6,210,162955,158230,52
REST000070,4.4,3879,71,51,19,25,137,47828,42964,64
REST000071,4.3,3732,86,39,15,13,130,135141,129551,53
REST000072,3.8,791,67,32,19,9,232,82121,74349,45
REST000073,3.4,3020,89,58,28,13,285,122709,110027,64
REST000074,4.2,4787,61,45,13,11,138,40340,36131,41
REST000075,3.9,1119,90,58,22,15,146,104314,97744,62
REST000076,3.8,1554,60,43,22,8,250,41925,34425,60
