restaurant_id,zomato_rating,zomato_total_reviews,zomato_delivery_fee_inr,zomato_avg_delivery_time_minutes,zomato_platform_commission_pct,zomato_discount_frequency_pct,zomato_estimated_monthly_orders,zomato_estimated_monthly_revenue_inr,zomato_estimated_net_profit_inr,zomato_market_share_pct
REST000001,3.2,4847,40,33,20,13,124,100588,98108,50
REST000002,3.4,1032,30,30,19,6,226,169330,165940,51
REST000003,3.4,5000,34,37,18,13,122,145058,142984,58
REST000004,4.5,1180,86,57,25,32,318,165042,151368,34
REST000005,3.9,948,50,28,18,9,177,181279,176854,48
REST000006,4.3,655,58,31,18,15,110,29315,26125,35
REST000007,4,1885,39,27,26,14,286,60952,55375,44
REST000008,4.2,2046,71,50,18,24,258,114665,105506,47
REST000009,4.6,3996,30,29,17,21,253,98065,94270,59
REST000010,3.7,4640,52,41,19,15,220,217404,211684,50
REST000011,3.2,74,54,45,13,13,125,139743,136368,46
REST000012,4,1333,30,26,22,11,119,97832,96047,55
REST000013,3.9,1460,48,37,22,9,231,179098,173554,48
REST000014,4.7,2886,38,31,22,25,387,441621,434268,28
REST000015,4.1,2581,89,48,19,14,240,78732,68052,49
REST000016,4.1,1400,66,46,22,19,218,254889,247695,42
REST000017,4.6,883,74,55,25,34,336,257040,244608,31
REST000018,3.5,2259,41,35,20,7,95,79800,77852,50
REST000019,3.5,3917,37,30,22,12,195,24640,21032,47
REST000020,4.2,1498,60,45,22,23,185,36363,30813,46
REST000021,4.4,1795,83,42,21,15,214,186304,177423,52
REST000022,3.5,2854,30,31,17,6,150,154504,152254,52
REST000023,3.8,4678,46,31,25,9,260,272805,266825,35
REST000024,4,1825,72,42,20,20,196,153350,146294,43
REST000025,3.9,1873,38,32,23,9,223,152650,148413,44
REST000026,3.7,1232,82,49,14,14,136,152281,146705,56
REST000027,4.2,1433,91,53,19,19,211,218764,209164,46
REST000028,4.2,3307,30,27,20,18,219,123866,120581,53
REST000029,3.7,3860,89,54,19,9,184,128472,120284,58
REST000030,3.7,432,52,40,20,15,98,44374,41826,49
REST000031,4.2,2006,90,51,27,18,294,232862,219632,27
REST000032,3.7,4694,62,50,26,11,290,200436,191446,44
REST000033,3.7,2701,30,31,17,14,160,164937,162537,49
REST000034,4.1,3080,34,35,23,22,288,228856,223960,34
REST000035,3.7,3752,54,43,25,9,265,152640,145485,35
REST000036,3.4,2540,71,46,19,7,215,183205,175573,58
REST000037,3.9,749,32,30,21,11,198,149850,146682,46
REST000038,4.2,1121,30,29,20,23,154,116424,114114,40
REST000039,4.2,3735,88,46,22,14,258,67817,56465,43
REST000040,4.5,131,94,51,17,13,141,103337,96710,49
REST000041,4.3,3933,30,28,27,14,372,263956,258376,31
REST000042,4.4,2786,84,55,24,25,361,295760,280598,39
REST000043,4.5,431,63,39,21,13,279,162882,154094,51
REST000044,4.2,4649,35,32,21,22,140,165457,163007,42
REST000045,4.1,942,70,46,21,17,125,84530,80155,41
REST000046,4,600,35,29,17,23,146,116696,114141,60
REST000047,4.2,1825,40,31,18,21,201,137130,133110,42
REST000048,3.6,3612,77,49,19,9,203,47520,39704,48
REST000049,4.5,700,57,38,25,25,293,259964,251613,31
REST000050,4.5,2875,75,45,18,37,185,119084,112147,54
REST000051,4.2,2433,47,35,16,22,180,53978,49748,49
REST000052,3.9,1599,42,28,22,13,249,175380,170151,46
REST000053,4.2,761,42,24,19,17,144,70450,67426,36
REST000054,4.8,4997,55,43,18,22,217,218866,212898,50
REST000055,3.9,4467,40,27,17,10,217,214150,209810,55
REST000056,3.9,1114,81,37,22,10,193,42000,34184,59
REST000057,3.8,4074,80,55,15,14,142,140977,135297,56
REST000058,3.1,2259,72,44,19,7,167,197358,191346,53
REST000059,3.1,3646,91,50,18,5,142,35747,29286,54
REST000060,4,2856,84,49,21,15,181,40323,32721,49
REST000061,4.4,4316,31,20,21,24,111,86900,85180,54
REST000062,3.8,656,46,47,21,13,127,66518,63597,50
REST000063,3.7,3336,69,46,20,14,170,103224,97359,52
REST000064,4.1,3435,56,37,21,15,113,58739,55575,39
REST000065,4,3540,30,21,19,21,230,78991,75541,49
REST000066,4,2738,77,47,23,15,200,172480,164780,37
REST000067,3.8,4741,45,28,21,7,241,117280,111857,52
REST000068,3.5,2672,89,51,19,15,188,171924,163558,52
REST000069,4.5,3120,45,23,19,31,242,187787,182342,48
REST000070,4.1,833,71,45,23,25,128,42479,37935,36
REST000071,3.8,4460,86,51,13,10,115,122361,117416,47
REST000072,4,1523,67,45,20,20,245,85652,77444,55
REST000073,3.3,1819,89,51,24,12,276,125436,113154,36
REST000074,4.2,4014,61,38,14,24,138,39876,35667,59
REST000075,4.2,3453,90,52,19,14,157,116487,109422,38
REST000076,4.1,934,60,36,17,12,270,48181,40081,40
REST000077,4,2622,77,43,23,17,345,353845,340563,39
REST000078,4.2,3889,45,31,22,23,187,93787,89580,41
REST000079,3.8,4588,30,28,22,6,277,128339,124184,38
REST000080,4.7,2633,48,40,18,37,169,78436,74380,44
REST000081,4.2,1396,41,27,26,11,369,119054,111489,27
REST000082,3.9,4529,55,39,12,7,121,105628,102300,56
REST000083,4,269,92,56,21,25,227,61151,50709,45
REST000084,4.7,1707,87,59,19,27,279,305538,293401,39
REST000085,3.9,3700,47,42,16,6,167,161883,157958,54
REST000086,3.8,1545,30,30,19,14,161,134583,132168,47
REST000087,4.3,3976,44,44,21,13,198,48020,43664,41
REST000088,5,2397,45,35,27,31,418,441232,431827,40
